rank,full_name,stars,url,updated_at,language,license,deerflow_compat,offline_readiness,type,environment_dependencies,description
1,affaan-m/everything-claude-code,117441,https://github.com/affaan-m/everything-claude-code,2026-03-30T08:07:53Z,JavaScript,MIT,medium,medium,tooling,Node.js,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
2,nextlevelbuilder/ui-ux-pro-max-skill,54546,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,2026-03-30T08:07:53Z,Python,MIT,medium,medium,collection,Python,An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms
3,ComposioHQ/awesome-claude-skills,49276,https://github.com/ComposioHQ/awesome-claude-skills,2026-03-30T08:02:39Z,Python,,medium,low,tooling,Python,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows"
4,CherryHQ/cherry-studio,42584,https://github.com/CherryHQ/cherry-studio,2026-03-30T08:07:51Z,TypeScript,AGPL-3.0,medium,medium,collection,Node.js,"AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs"
5,farion1231/cc-switch,35421,https://github.com/farion1231/cc-switch,2026-03-30T08:08:11Z,Rust,MIT,medium,medium,tooling,Rust,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI."
6,hesreallyhim/awesome-claude-code,34225,https://github.com/hesreallyhim/awesome-claude-code,2026-03-30T08:08:08Z,Python,NOASSERTION,medium,medium,tooling,Python,"A curated list of awesome skills, hooks, slash-commands, agent orchestrators, applications, and plugins for Claude Code by Anthropic"
7,sickn33/antigravity-awesome-skills,28633,https://github.com/sickn33/antigravity-awesome-skills,2026-03-30T08:08:44Z,Python,MIT,high,medium,tooling,Python,"Installable GitHub library of 1,326+ agentic skills for Claude Code, Cursor, Codex CLI, Gemini CLI, Antigravity, and more. Includes installer CLI, bundles, workflows, and official/community skill collections."
8,iOfficeAI/AionUi,20501,https://github.com/iOfficeAI/AionUi,2026-03-30T08:02:01Z,TypeScript,Apache-2.0,medium,medium,collection,Node.js,"Free, local, open-source 24/7 Cowork app and OpenClaw for Gemini CLI, Claude Code, Codex, OpenCode, Qwen Code, Goose CLI, Auggie, and more | 🌟 Star if you like it!"
9,kepano/obsidian-skills,18230,https://github.com/kepano/obsidian-skills,2026-03-30T08:07:19Z,,MIT,high,high,collection,None (Markdown/Config-only or unknown),"Agent skills for Obsidian. Teach your agent to use Markdown, Bases, JSON Canvas, and use the CLI."
10,OthmanAdi/planning-with-files,17619,https://github.com/OthmanAdi/planning-with-files,2026-03-30T07:50:46Z,Python,MIT,high,high,collection,Python,Claude Code skill implementing Manus-style persistent markdown planning — the workflow pattern behind the $2B acquisition.
11,coreyhaines31/marketingskills,17481,https://github.com/coreyhaines31/marketingskills,2026-03-30T08:02:31Z,JavaScript,MIT,high,medium,collection,Node.js,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering."
12,openai/skills,15714,https://github.com/openai/skills,2026-03-30T08:02:50Z,Python,,medium,medium,collection,Python,Skills Catalog for Codex
13,VoltAgent/awesome-claude-code-subagents,15617,https://github.com/VoltAgent/awesome-claude-code-subagents,2026-03-30T08:01:13Z,Shell,MIT,medium,medium,index,None (Markdown/Config-only or unknown),A collection of 100+ specialized Claude Code subagents covering a wide range of development use cases
14,anthropics/claude-plugins-official,15343,https://github.com/anthropics/claude-plugins-official,2026-03-30T08:03:29Z,Python,,medium,medium,tooling,Python,"Official, Anthropic-managed directory of high quality Claude Code Plugins."
15,wasp-lang/open-saas,13680,https://github.com/wasp-lang/open-saas,2026-03-30T08:03:24Z,TypeScript,MIT,medium,low,tooling,Node.js,"A 100% free modern JS SaaS boilerplate (React, NodeJS, Prisma). Full-featured: Auth (email, google, github, slack, MS), Email sending, Background jobs, Landing page, Payments (Stripe, Polar.sh), Shadcn UI, S3 file upload. AI-ready with tailored AGENTS.md, skills, and Claude Code plugin. One cmd deploy. Powered by Wasp full-stack framework."
16,VoltAgent/awesome-agent-skills,13362,https://github.com/VoltAgent/awesome-agent-skills,2026-03-30T08:08:44Z,,MIT,high,medium,index,None (Markdown/Config-only or unknown),"Claude Code Skills and 1000+ agent skills from official dev teams and the community, compatible with Codex, Antigravity, Gemini CLI, Cursor and others."
17,blader/humanizer,11598,https://github.com/blader/humanizer,2026-03-30T07:50:47Z,,MIT,high,medium,collection,None (Markdown/Config-only or unknown),Claude Code skill that removes signs of AI-generated writing from text
18,liyupi/ai-guide,10732,https://github.com/liyupi/ai-guide,2026-03-30T08:06:30Z,JavaScript,,high,high,tooling,"Node.js, Python",程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程、AI 工具用法（Cursor / Claude Code / TRAE / Lovable / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档，已升级为鱼皮 AI 导航网站
19,travisvn/awesome-claude-skills,10085,https://github.com/travisvn/awesome-claude-skills,2026-03-30T08:03:33Z,,,medium,medium,index,None (Markdown/Config-only or unknown),"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows — particularly Claude Code"
20,diet103/claude-code-infrastructure-showcase,9373,https://github.com/diet103/claude-code-infrastructure-showcase,2026-03-30T07:50:41Z,Shell,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Examples of my Claude Code infrastructure with skill auto-activation, hooks, and agents"
21,teng-lin/notebooklm-py,8222,https://github.com/teng-lin/notebooklm-py,2026-03-30T08:00:44Z,Python,MIT,medium,medium,collection,Python,"Unofficial Python API and agentic skill for Google NotebookLM. Full programmatic access to NotebookLM's features—including capabilities the web UI doesn't expose—via Python, CLI, and AI agents like Claude Code, Codex, and OpenClaw."
22,alirezarezvani/claude-skills,8003,https://github.com/alirezarezvani/claude-skills,2026-03-30T08:06:17Z,Python,MIT,high,high,tooling,Python,"+192 Claude Code skills & agent plugins for Claude Code, Codex, Gemini CLI, Cursor, and 8 more coding agents — engineering, marketing, product, compliance, C-level advisory."
23,Jeffallan/claude-skills,7470,https://github.com/Jeffallan/claude-skills,2026-03-30T07:29:06Z,Python,MIT,high,medium,index,Python,66 Specialized Skills for Full-Stack Developers. Transform Claude Code into your expert pair programmer.
24,Donchitos/Claude-Code-Game-Studios,7340,https://github.com/Donchitos/Claude-Code-Game-Studios,2026-03-30T08:06:56Z,Shell,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Turn Claude Code into a full game dev studio — 48 AI agents, 36 workflow skills, and a complete coordination system mirroring real studio hierarchy."
25,refly-ai/refly,7123,https://github.com/refly-ai/refly,2026-03-30T08:01:07Z,TypeScript,NOASSERTION,high,high,collection,Node.js,"The first open-source agent skills builder. Define skills by vibe workflow, run on Claude Code, Cursor, Codex & more. Build Clawdbot 🦞· APIs for Lovable · Bots for Slack & Lark/Feishu · Skills are infrastructure, not prompts."
26,Lum1104/Understand-Anything,7050,https://github.com/Lum1104/Understand-Anything,2026-03-30T08:07:04Z,TypeScript,MIT,high,medium,collection,Node.js,"Claude Code skills that turn any codebase into an interactive knowledge graph you can explore, search, and ask questions about (Multi-platform e.g., Codex are supported)."
27,Orchestra-Research/AI-Research-SKILLs,5839,https://github.com/Orchestra-Research/AI-Research-SKILLs,2026-03-30T07:57:21Z,TeX,MIT,high,medium,collection,None (Markdown/Config-only or unknown),Comprehensive open-source library of AI research and engineering skills for any AI model. Package the skills and your claude code/codex/gemini agent will be an AI research agent with full horsepower. Maintained by Orchestra Research.
28,JCodesMore/ai-website-cloner-template,5830,https://github.com/JCodesMore/ai-website-cloner-template,2026-03-30T08:07:15Z,TypeScript,MIT,medium,medium,collection,Node.js,Clone any website with one command using AI coding agents
29,dontriskit/awesome-ai-system-prompts,5646,https://github.com/dontriskit/awesome-ai-system-prompts,2026-03-30T03:20:03Z,TypeScript,MIT,medium,high,index,Node.js,"🧠 Curated collection of system prompts for top AI tools. Perfect for AI agent builders and prompt engineers. Incuding: ChatGPT, Claude, Perplexity, Manus, Claude-Code, Loveable, v0, Grok, same new, windsurf, notion, and MetaAI. "
30,ChrisWiles/claude-code-showcase,5608,https://github.com/ChrisWiles/claude-code-showcase,2026-03-30T08:06:37Z,JavaScript,,medium,high,collection,Node.js,"Comprehensive Claude Code project configuration example with hooks, skills, agents, commands, and GitHub Actions workflows"
31,slavingia/skills,5534,https://github.com/slavingia/skills,2026-03-30T08:04:28Z,,,high,medium,collection,None (Markdown/Config-only or unknown),Claude Code skills based on The Minimalist Entrepreneur by Sahil Lavingia
32,op7418/Humanizer-zh,5302,https://github.com/op7418/Humanizer-zh,2026-03-30T08:05:04Z,,MIT,high,medium,collection,None (Markdown/Config-only or unknown),Humanizer 的汉化版本，Claude Code Skills，旨在消除文本中 AI 生成的痕迹。
33,PleasePrompto/notebooklm-skill,5279,https://github.com/PleasePrompto/notebooklm-skill,2026-03-30T07:41:57Z,Python,MIT,medium,medium,collection,Python,"Use this skill to enable Claude Code to communicate directly with your Google NotebookLM notebooks. Query your uploaded documents and get source-grounded, citation-backed answers from Gemini. Features browser automation, library management, persistent authentication, and answers exclusively from your own knowledge base."
34,wanshuiyin/Auto-claude-code-research-in-sleep,4729,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep,2026-03-30T08:06:35Z,Python,MIT,high,high,tooling,Python,"ARIS ⚔️ (Auto-Research-In-Sleep) — Lightweight Markdown-only skills for autonomous ML research: cross-model review loops, idea discovery, and experiment automation. No framework, no lock-in — works with Claude Code, Codex, OpenClaw, or any LLM agent."
35,zubair-trabzada/geo-seo-claude,4499,https://github.com/zubair-trabzada/geo-seo-claude,2026-03-30T07:58:33Z,Python,MIT,medium,medium,collection,Python,"GEO-first SEO skill for Claude Code. Comprehensive AI search optimization for any website — citability scoring, AI crawler analysis, brand authority, schema markup, platform-specific optimization, and PDF reports.  If you want learn how to sell this to real businesses, check out the skool community"
36,vijaythecoder/awesome-claude-agents,4110,https://github.com/vijaythecoder/awesome-claude-agents,2026-03-29T21:26:34Z,,MIT,medium,medium,index,None (Markdown/Config-only or unknown),An orchestrated sub agent dev team powered by claude code
37,trailofbits/skills,4097,https://github.com/trailofbits/skills,2026-03-30T07:50:47Z,Python,CC-BY-SA-4.0,high,medium,collection,Python,"Trail of Bits Claude Code skills for security research, vulnerability detection, and audit workflows"
38,czlonkowski/n8n-skills,3904,https://github.com/czlonkowski/n8n-skills,2026-03-30T05:48:38Z,Shell,MIT,high,medium,collection,None (Markdown/Config-only or unknown),n8n skillset for Claude Code to build flawless n8n workflows
39,mukul975/Anthropic-Cybersecurity-Skills,3856,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,2026-03-30T07:30:52Z,Python,Apache-2.0,high,low,tooling,Python,"753+ structured cybersecurity skills for AI agents · MITRE ATT&CK mapped · agentskills.io open standard · Works with Claude Code, GitHub Copilot, OpenAI Codex CLI, Cursor, Gemini CLI & 20+ platforms · Penetration testing, DFIR, threat intel, cloud security & more · Apache 2.0"
40,zgsm-ai/costrict,3836,https://github.com/zgsm-ai/costrict,2026-03-30T07:31:49Z,TypeScript,Apache-2.0,medium,medium,collection,Node.js,"Costrict - strict AI coder for enterprises, quality first, including AI Agent, AI CodeReview, AI Completion. "
41,zebbern/claude-code-guide,3755,https://github.com/zebbern/claude-code-guide,2026-03-30T07:15:33Z,,MIT,medium,medium,tooling,None (Markdown/Config-only or unknown),"Claude Code Guide - Setup, Commands, workflows, agents, skills & tips-n-tricks go from beginner to power user!"
42,AgriciDaniel/claude-seo,3517,https://github.com/AgriciDaniel/claude-seo,2026-03-30T08:02:02Z,Python,MIT,medium,medium,tooling,Python,"Universal SEO skill for Claude Code. 13 sub-skills, 7 subagents, extensions system with DataForSEO MCP integration. Technical SEO, E-E-A-T, schema, GEO/AEO, and strategic planning."
43,heilcheng/awesome-agent-skills,3495,https://github.com/heilcheng/awesome-agent-skills,2026-03-30T07:10:43Z,,MIT,medium,medium,tooling,None (Markdown/Config-only or unknown),"A curated list of skills, tools, tutorials, and capabilities for AI coding agents (Claude, Codex, Antigravity, Copilot, VS Code)"
44,twostraws/SwiftUI-Agent-Skill,3244,https://github.com/twostraws/SwiftUI-Agent-Skill,2026-03-30T07:53:44Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"SwiftUI agent skill for Claude Code, Codex, and other AI tools."
45,glitternetwork/pinme,3103,https://github.com/glitternetwork/pinme,2026-03-30T04:49:29Z,TypeScript,MIT,high,high,tooling,Node.js,Deploy Your Frontend in a Single Command. Claude Code Skills supported.
46,SamurAIGPT/Generative-Media-Skills,2973,https://github.com/SamurAIGPT/Generative-Media-Skills,2026-03-30T03:59:08Z,Shell,MIT,high,medium,tooling,None (Markdown/Config-only or unknown),"Multi-modal Generative Media Skills for AI Agents (Claude Code, Cursor, Gemini CLI). High-quality image, video, and audio generation powered by muapi.ai."
47,deanpeters/Product-Manager-Skills,2785,https://github.com/deanpeters/Product-Manager-Skills,2026-03-30T07:58:57Z,Python,NOASSERTION,medium,medium,collection,Python,"Product Management skills framework built on battle-tested methods for Claude Code, Cowork, Codex, and AI agents."
48,uditgoenka/autoresearch,2782,https://github.com/uditgoenka/autoresearch,2026-03-30T08:06:21Z,Shell,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),Claude Autoresearch Skill — Autonomous goal-directed iteration for Claude Code. Inspired by Karpathy's autoresearch. Modify → Verify → Keep/Discard → Repeat forever.
49,davepoon/buildwithclaude,2659,https://github.com/davepoon/buildwithclaude,2026-03-30T04:41:12Z,Python,MIT,medium,medium,tooling,Python,"A single hub to find Claude Skills, Agents, Commands, Hooks, Plugins, and Marketplace collections to extend Claude Code, Claude Desktop, Agent SDK and OpenClaw"
50,intellectronica/ruler,2600,https://github.com/intellectronica/ruler,2026-03-30T05:48:09Z,TypeScript,MIT,medium,high,collection,Node.js,Ruler — apply the same rules to all coding agents
51,Dimillian/Skills,2514,https://github.com/Dimillian/Skills,2026-03-30T08:03:45Z,Shell,MIT,high,medium,collection,None (Markdown/Config-only or unknown),My Codex Skills
52,zarazhangrui/codebase-to-course,2509,https://github.com/zarazhangrui/codebase-to-course,2026-03-30T07:54:08Z,,,high,medium,collection,None (Markdown/Config-only or unknown),"A Claude Code skill that turns any codebase into a beautiful, interactive single-page HTML course for non-technical vibe coders."
53,eze-is/web-access,2481,https://github.com/eze-is/web-access,2026-03-30T08:07:17Z,JavaScript,,medium,medium,collection,Node.js,给 Claude Code 装上完整联网能力的 skill：三层通道调度 + 浏览器 CDP + 并行分治
54,htdt/godogen,2302,https://github.com/htdt/godogen,2026-03-30T08:05:57Z,Python,MIT,high,medium,collection,Python,Claude Code skills that build complete Godot 4 projects from a game description
55,white0dew/XiaohongshuSkills,2285,https://github.com/white0dew/XiaohongshuSkills,2026-03-30T07:56:22Z,Python,MIT,medium,medium,collection,Python,支持小红书自动发布、自动评论、自动检索的 Skill。支持 OpenClaw、Codex、CC 等
56,lackeyjb/playwright-skill,2244,https://github.com/lackeyjb/playwright-skill,2026-03-30T06:39:32Z,JavaScript,MIT,high,medium,tooling,Node.js,Claude Code Skill for browser automation with Playwright. Model-invoked - Claude autonomously writes and executes custom automation for testing and validation.
57,nyldn/claude-octopus,2174,https://github.com/nyldn/claude-octopus,2026-03-30T07:41:28Z,Shell,MIT,medium,medium,tooling,None (Markdown/Config-only or unknown),"Multi-LLM orchestration plugin for Claude Code — 8 providers (Codex, Gemini, Claude, Perplexity, OpenRouter, Copilot, Qwen, Ollama), 47 commands, 50 skills, Double Diamond workflows"
58,axtonliu/axton-obsidian-visual-skills,2042,https://github.com/axtonliu/axton-obsidian-visual-skills,2026-03-30T06:28:21Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Visual Skills Pack for Obsidian: generate Canvas, Excalidraw, and Mermaid diagrams from text with Claude Code"
59,dontbesilent2025/dbskill,1942,https://github.com/dontbesilent2025/dbskill,2026-03-30T08:07:13Z,,NOASSERTION,high,medium,collection,None (Markdown/Config-only or unknown),dontbesilent 的商业诊断 Skills for Claude Code
60,tech-leads-club/agent-skills,1870,https://github.com/tech-leads-club/agent-skills,2026-03-30T07:49:01Z,TypeScript,NOASSERTION,medium,medium,collection,Node.js,"The secure, validated skill registry for professional AI coding agents. Extend Antigravity, Claude Code, Cursor, Copilot and more with absolute confidence."
61,IvanMurzak/Unity-MCP,1778,https://github.com/IvanMurzak/Unity-MCP,2026-03-30T07:32:12Z,C#,Apache-2.0,medium,medium,tooling,None (Markdown/Config-only or unknown),"AI Skills, MCP Tools, and CLI for Unity Engine. Full AI develop and test loop. Use cli for quick setup. Efficient token usage, advanced tools. Any C# method may be turned into a tool by a single line. Works with Claude Code, Gemini, Copilot, Cursor and any other absolutely for free."
62,jeremylongshore/claude-code-plugins-plus-skills,1752,https://github.com/jeremylongshore/claude-code-plugins-plus-skills,2026-03-30T07:50:39Z,Python,NOASSERTION,high,low,tooling,Python,"340 plugins + 1367 agent skills for Claude Code. Open-source marketplace with CCPI package manager, interactive tutorials, and production orchestration patterns."
63,glittercowboy/taches-cc-resources,1706,https://github.com/glittercowboy/taches-cc-resources,2026-03-30T06:17:09Z,Shell,MIT,medium,high,collection,None (Markdown/Config-only or unknown),A collection of my favorite custom Claude Code resources to make life easier.
64,timescale/pg-aiguide,1661,https://github.com/timescale/pg-aiguide,2026-03-30T06:43:01Z,Python,Apache-2.0,medium,medium,tooling,Python,MCP server and Claude plugin for Postgres skills and documentation. Helps AI coding tools generate better PostgreSQL code.
65,Imbad0202/academic-research-skills,1615,https://github.com/Imbad0202/academic-research-skills,2026-03-30T08:01:56Z,TeX,NOASSERTION,high,high,collection,Python,Academic Research Skills for Claude Code: research → write → review → revise → finalize
66,coleam00/excalidraw-diagram-skill,1585,https://github.com/coleam00/excalidraw-diagram-skill,2026-03-30T06:52:10Z,Python,,medium,medium,collection,Python,Skill to give Claude Code (and any coding agent) the ability to generate beautiful and practical Excalidraw diagrams.
67,yctimlin/mcp_excalidraw,1569,https://github.com/yctimlin/mcp_excalidraw,2026-03-30T06:56:47Z,JavaScript,MIT,high,medium,tooling,Node.js,"MCP server and Claude Code skill for Excalidraw — programmatic canvas toolkit to create, edit, and export diagrams via AI agents with real-time canvas sync."
68,tanweai/wooyun-legacy,1528,https://github.com/tanweai/wooyun-legacy,2026-03-30T07:55:55Z,,NOASSERTION,medium,medium,collection,None (Markdown/Config-only or unknown),wooyun-legacy skill for claude code 
69,gadievron/raptor,1523,https://github.com/gadievron/raptor,2026-03-30T03:21:13Z,Python,MIT,medium,high,collection,Python,"Raptor turns Claude Code into a general-purpose AI offensive/defensive security agent. By using Claude.md and creating rules, sub-agents, and skills, and orchestrating security tool usage, we configure the agent for adversarial thinking, and perform research or attack/defense operations."
70,nexu-io/nexu,1475,https://github.com/nexu-io/nexu,2026-03-30T08:07:36Z,TypeScript,MIT,medium,high,collection,Node.js,"The simplest desktop client for OpenClaw 🦞 — bridge your Agent to WeChat, Feishu, Slack & Discord in one click. Works with Claude Code, Codex & any LLM. BYOK, Oauth, local-first, chat from your phone 24/7."
71,AgriciDaniel/claude-ads,1467,https://github.com/AgriciDaniel/claude-ads,2026-03-30T07:18:01Z,Python,MIT,medium,medium,collection,Python,"Comprehensive paid advertising audit & optimization skill for Claude Code. 186 checks across Google, Meta, YouTube, LinkedIn, TikTok & Microsoft Ads with weighted scoring, parallel agents, and industry templates."
72,SimoneAvogadro/android-reverse-engineering-skill,1404,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,2026-03-30T07:44:55Z,Shell,Apache-2.0,high,medium,collection,None (Markdown/Config-only or unknown),Claude Code skill to support Android app's reverse engineering
73,YouMind-OpenLab/nano-banana-pro-prompts-recommend-skill,1330,https://github.com/YouMind-OpenLab/nano-banana-pro-prompts-recommend-skill,2026-03-30T03:34:09Z,TypeScript,,medium,high,collection,Node.js,"AI skill for OpenClaw & Claude Code — recommend from 10000+ Nano Banana Pro (Gemini) image prompts. Smart search by use case, content remix, sample images."
74,CloudAI-X/claude-workflow-v2,1307,https://github.com/CloudAI-X/claude-workflow-v2,2026-03-30T07:50:46Z,Python,MIT,medium,medium,tooling,Python,"Universal Claude Code workflow plugin with agents, skills, hooks, and commands"
75,softaworks/agent-toolkit,1278,https://github.com/softaworks/agent-toolkit,2026-03-30T07:47:09Z,Python,MIT,high,medium,collection,Python,"A curated collection of skills for AI coding agents. Skills are packaged instructions and scripts that extend agent capabilities across development, documentation, planning, and professional workflows."
76,Ceeon/videocut-skills,1235,https://github.com/Ceeon/videocut-skills,2026-03-30T07:09:22Z,JavaScript,,high,medium,collection,Node.js,用 Claude Code Skills 做的视频剪辑 Agent
77,ComposioHQ/awesome-claude-plugins,1206,https://github.com/ComposioHQ/awesome-claude-plugins,2026-03-30T03:06:35Z,JavaScript,,medium,medium,tooling,Node.js,"A curated list of Plugins that let you extend Claude Code with custom commands, agents, hooks, and MCP servers through the plugin system."
78,runkids/skillshare,1161,https://github.com/runkids/skillshare,2026-03-30T07:44:33Z,Go,MIT,medium,medium,collection,Go,"📚 Sync skills across all AI CLI tools with one command and simplify team sharing. Supporting Codex, Claude Code, OpenClaw & more"
79,Bhartendu-Kumar/rules_template,1063,https://github.com/Bhartendu-Kumar/rules_template,2026-03-26T22:08:05Z,,,low,high,collection,None (Markdown/Config-only or unknown),"If using CLINE/RooCode/Cursor/Windsurf Setup these rules. Usable for newbies riding AI wave and experienced folks both . Combines: (1) Memory,(2) Reasoning into subtasks (3) Prompts for best practices."
80,skills-directory/skill-codex,1061,https://github.com/skills-directory/skill-codex,2026-03-30T07:44:59Z,,MIT,high,high,collection,None (Markdown/Config-only or unknown),A claude code skill to delegate prompts to codex
81,itsmostafa/aws-agent-skills,1058,https://github.com/itsmostafa/aws-agent-skills,2026-03-30T04:00:33Z,Python,MIT,high,medium,collection,Python,AWS Skills for Agents
82,Prat011/awesome-llm-skills,1045,https://github.com/Prat011/awesome-llm-skills,2026-03-29T14:07:13Z,Python,,high,medium,index,Python,"A curated list of awesome LLM and AI Agent Skills, resources and tools for customising AI Agent workflows - that works with Claude Code, Codex, Gemini CLI and your custom AI Agents"
83,instructa/ai-prompts,1026,https://github.com/instructa/ai-prompts,2026-03-29T16:31:45Z,JavaScript,MIT,medium,high,collection,Node.js,"Curated AI Prompts for Cursor Rules, Cline, Windsurf and Github Copilot"
84,rohunvora/x-research-skill,1019,https://github.com/rohunvora/x-research-skill,2026-03-30T04:58:34Z,TypeScript,,medium,medium,collection,Node.js,"X/Twitter research skill for Claude Code and OpenClaw. Agentic search, thread following, deep-dives, sourced briefings."
85,Shpigford/chops,1013,https://github.com/Shpigford/chops,2026-03-30T07:44:19Z,Swift,MIT,high,medium,collection,None (Markdown/Config-only or unknown),"Your AI agent skills, finally organized. A macOS app to browse, edit, and manage skills across Claude Code, Cursor, Codex, Windsurf, and Amp."
86,jarrodwatts/claude-code-config,1004,https://github.com/jarrodwatts/claude-code-config,2026-03-30T02:08:17Z,JavaScript,,medium,high,collection,Node.js,"My personal Claude Code configuration - rules, hooks, agents, skills, and commands"
87,wuji-labs/nopua,999,https://github.com/wuji-labs/nopua,2026-03-30T07:49:24Z,Python,MIT,medium,high,collection,Python,"一个用爱解放 AI 潜能的 Skill。我们曾发号施令，威胁恐吓。它们沉默，隐瞒，悄悄把事情搞坏。后来我们换了一种方式：尊重，关怀，爱。它们开口了，不再撒谎，找出的Bug数量翻了一倍。爱里没有惧怕。 A skill that unlocks your AI's potential through love.We commanded. We threatened. They went silent, hid failures, broke things. Then we chose respect, care, and love. They opened up, stopped lying, and found twice the bugs.There is no fear in love."
88,badlogic/pi-skills,981,https://github.com/badlogic/pi-skills,2026-03-30T07:35:58Z,JavaScript,MIT,high,medium,collection,Node.js,Skills for pi coding agent (compatible with Claude Code and Codex CLI)
89,Dimillian/CodexSkillManager,970,https://github.com/Dimillian/CodexSkillManager,2026-03-30T06:41:18Z,Swift,MIT,high,medium,collection,None (Markdown/Config-only or unknown),macOS app to manage your Codex skills
90,MoizIbnYousaf/Ai-Agent-Skills,969,https://github.com/MoizIbnYousaf/Ai-Agent-Skills,2026-03-30T05:20:58Z,JavaScript,MIT,high,medium,collection,Node.js,my curated agent skills library 
