rank,full_name,stars,url,updated_at,language,license,deerflow_compat,offline_readiness,type,environment_dependencies,description
91,xjtulyc/MedgeClaw,968,https://github.com/xjtulyc/MedgeClaw,2026-03-30T07:33:37Z,TeX,,medium,medium,collection,None (Markdown/Config-only or unknown),"Open-source AI research assistant for biomedicine — chat to run RNA-seq, drug discovery, clinical analysis, and more. Built on Claude Code with 140 K-Dense scientific skills, real-time dashboard, and RStudio/JupyterLab integration. | 开源生物医学 AI 研究助手，对话即可驱动转录组、药物发现、临床分析等工作流，集成 140 个科学技能与实时研究看板。"
92,zubair-trabzada/ai-marketing-claude,952,https://github.com/zubair-trabzada/ai-marketing-claude,2026-03-30T07:00:00Z,Python,MIT,medium,medium,collection,Python,"AI Marketing Suite for Claude Code. 15 marketing skills with parallel subagents — audit any website, generate copy, email sequences, ad campaigns, content calendars, competitive intelligence, and client-ready PDF reports."
93,rohitg00/awesome-claude-code-toolkit,949,https://github.com/rohitg00/awesome-claude-code-toolkit,2026-03-30T07:16:07Z,JavaScript,Apache-2.0,medium,high,tooling,Node.js,"The most comprehensive toolkit for Claude Code -- 135 agents, 35 curated skills (+400,000 via SkillKit), 42 commands, 150+ plugins, 19 hooks, 15 rules, 7 templates, 8 MCP configs, and more."
94,numman-ali/n-skills,943,https://github.com/numman-ali/n-skills,2026-03-29T10:01:06Z,TypeScript,Apache-2.0,medium,medium,tooling,Node.js,"Curated plugin marketplace for AI agents - works with Claude Code, Codex, and openskills"
95,Master-cai/Research-Paper-Writing-Skills,940,https://github.com/Master-cai/Research-Paper-Writing-Skills,2026-03-30T06:54:42Z,,,high,medium,collection,None (Markdown/Config-only or unknown),"Skill package for ML/CV/NLP paper writing, curated and adapted from Prof. Peng Sida's open notes for Codex, Claude Code, and Gemini."
96,simonw/claude-skills,920,https://github.com/simonw/claude-skills,2026-03-30T05:16:24Z,,,medium,medium,collection,None (Markdown/Config-only or unknown),The contents of /mnt/skills in Claude's code interpreter environment
97,oaker-io/wewrite,895,https://github.com/oaker-io/wewrite,2026-03-30T07:57:11Z,Python,MIT,medium,medium,collection,Python,公众号文章全流程 AI Skill for Claude Code — 热点抓取 → 选题 → 写作 → SEO → 视觉AI → 排版 → 微信草稿箱
98,leo-lilinxiao/codex-autoresearch,872,https://github.com/leo-lilinxiao/codex-autoresearch,2026-03-30T08:07:04Z,Python,MIT,medium,medium,collection,Python,"Codex Autoresearch Skill — A self-directed iterative system for Codex that continuously cycles through: modify, verify, retain or discard, and repeat indefinitely. Inspired by Karpathy’s autoresearch concept."
99,PenglongHuang/chinese-novelist-skill,855,https://github.com/PenglongHuang/chinese-novelist-skill,2026-03-30T03:21:03Z,Python,,high,medium,collection,Python,让 AI 为你写一部完整的中文小说 - AI 驱动的中文小说创作助手 - 超过20章的小说，几分钟全稿完成    Claude Code Skill：自动创作分章节中文小说，每章悬念钩子
100,am-will/codex-skills,841,https://github.com/am-will/codex-skills,2026-03-30T07:45:45Z,Shell,,medium,medium,collection,None (Markdown/Config-only or unknown),
101,ljagiello/ctf-skills,841,https://github.com/ljagiello/ctf-skills,2026-03-30T07:40:23Z,Python,MIT,high,medium,collection,Python,"Agent skills for solving CTF challenges - web exploitation, binary pwn, crypto, reverse engineering, forensics, OSINT, and more"
102,foryourhealth111-pixel/Vibe-Skills,837,https://github.com/foryourhealth111-pixel/Vibe-Skills,2026-03-30T08:04:30Z,PowerShell,Apache-2.0,medium,medium,tooling,None (Markdown/Config-only or unknown),"Wherever your AI supports skills, VibeSkills works. 340+ governed skills spanning coding, research, automation & creative work."
103,snwfdhmp/awesome-ralph,820,https://github.com/snwfdhmp/awesome-ralph,2026-03-29T15:29:54Z,,,medium,medium,index,None (Markdown/Config-only or unknown),"A curated list of resources about Ralph, the AI coding technique that runs AI coding agents in automated loops until specifications are fulfilled."
104,AgnosticUI/agnosticui,789,https://github.com/AgnosticUI/agnosticui,2026-03-27T21:34:53Z,TypeScript,Apache-2.0,medium,high,collection,Node.js,"AgnosticUI Local (v2) is a CLI-based UI component library that copies components directly into your project. Works with AI tools, agent-driven UIs, and prompt-ready workflows."
105,daymade/claude-code-skills,746,https://github.com/daymade/claude-code-skills,2026-03-30T04:54:48Z,Python,MIT,high,medium,index,Python,Professional Claude Code skills marketplace featuring production-ready skills for enhanced development workflows.
106,BehiSecc/VibeSec-Skill,738,https://github.com/BehiSecc/VibeSec-Skill,2026-03-30T04:09:43Z,,Apache-2.0,low,medium,collection,None (Markdown/Config-only or unknown),This skill helps Claude write secure code and prevent common vulnerabilities.
107,NeoLabHQ/context-engineering-kit,731,https://github.com/NeoLabHQ/context-engineering-kit,2026-03-30T05:14:01Z,TypeScript,GPL-3.0,high,medium,index,Node.js,"Hand-crafted Claude Code Skills focused on improving agent results quality. Compatible with OpenCode, Cursor, Antigravity, Gemini CLI, and others."
108,samber/cc-skills-golang,721,https://github.com/samber/cc-skills-golang,2026-03-30T08:07:26Z,Go,MIT,medium,medium,tooling,Go,🧑‍🎨 A collection of Golang agentic skills that works
109,DrCatHicks/learning-opportunities,714,https://github.com/DrCatHicks/learning-opportunities,2026-03-30T06:27:23Z,Shell,CC-BY-4.0,high,medium,collection,None (Markdown/Config-only or unknown),A Claude Code skill for deliberate skill development during AI-assisted coding
110,Aaronontheweb/dotnet-skills,695,https://github.com/Aaronontheweb/dotnet-skills,2026-03-30T07:24:13Z,Shell,MIT,high,medium,collection,None (Markdown/Config-only or unknown),Claude Code skills and sub-agents for .NET Developers
111,wshuyi/x-article-publisher-skill,694,https://github.com/wshuyi/x-article-publisher-skill,2026-03-29T22:00:52Z,Python,MIT,high,high,collection,Python,Claude Code skill for publishing Markdown articles to X (Twitter) Articles
112,CharlesWiltgen/Axiom,690,https://github.com/CharlesWiltgen/Axiom,2026-03-29T20:35:13Z,TypeScript,MIT,high,medium,collection,Node.js,"Battle-tested Claude Code skills for modern xOS (iOS, iPadOS, watchOS, tvOS) development"
113,rohitg00/skillkit,689,https://github.com/rohitg00/skillkit,2026-03-30T05:18:54Z,TypeScript,Apache-2.0,medium,medium,collection,Node.js,"Supercharge AI coding agents with portable skills. Install, translate & share skills across Claude Code, Cursor, Codex, Copilot & 40 more"
114,agent-sh/agentsys,673,https://github.com/agent-sh/agentsys,2026-03-30T00:24:51Z,JavaScript,MIT,medium,medium,tooling,Node.js,"AI writes code. This automates everything else · 19 plugins, 47 agents, and 40 skills · for Claude Code, OpenCode, Codex, Cursor, Kiro."
115,jezweb/claude-skills,670,https://github.com/jezweb/claude-skills,2026-03-30T05:34:37Z,Python,MIT,high,low,collection,Python,"Skills for Claude Code CLI such as full stack dev Cloudflare, React, Tailwind v4, and AI integrations."
116,alirezarezvani/claude-code-tresor,657,https://github.com/alirezarezvani/claude-code-tresor,2026-03-29T21:43:45Z,Shell,MIT,medium,high,collection,None (Markdown/Config-only or unknown),"A world-class collection of Claude Code utilities: autonomous skills, expert agents, slash commands, and prompts that supercharge your development workflow"
117,ccplugins/awesome-claude-code-plugins,655,https://github.com/ccplugins/awesome-claude-code-plugins,2026-03-30T07:56:12Z,Python,Apache-2.0,medium,medium,tooling,Python,"Awesome Claude Code plugins — a curated list of slash commands, subagents, MCP servers, and hooks for Claude Code"
118,Eronred/aso-skills,650,https://github.com/Eronred/aso-skills,2026-03-30T05:40:12Z,Shell,MIT,high,medium,tooling,None (Markdown/Config-only or unknown),"AI agent skills for App Store Optimization (ASO) and app marketing. Built for indie developers, app marketers, and growth teams who want Cursor, Claude Code, or any Agent Skills-compatible AI assistant to help with keyword research, metadata optimization, competitor analysis, and app growth."
119,alirezarezvani/claude-code-skill-factory,649,https://github.com/alirezarezvani/claude-code-skill-factory,2026-03-30T05:07:08Z,Python,MIT,high,high,collection,Python,"Claude Code Skill Factory — A powerful open-source toolkit for building and deploying production-ready Claude Skills, Code Agents, custom Slash Commands, and LLM Prompts at scale. Easily generate structured skill templates, automate workflow integration, and accelerate AI agent development with a clean, developer-friendly setup."
120,aaron-he-zhu/seo-geo-claude-skills,626,https://github.com/aaron-he-zhu/seo-geo-claude-skills,2026-03-30T08:07:48Z,Python,Apache-2.0,high,medium,collection,Python,"20 SEO & GEO skills for Claude Code, Cursor, Codex, and 35+ AI agents. Keyword research, content writing, technical audits, rank tracking. CORE-EEAT + CITE frameworks."
121,sangrokjung/claude-forge,621,https://github.com/sangrokjung/claude-forge,2026-03-30T06:47:20Z,Shell,MIT,medium,medium,tooling,None (Markdown/Config-only or unknown),"Supercharge Claude Code with 11 AI agents, 36 commands & 15 skills — the claude-code plugin framework inspired by oh-my-zsh. 6-layer security hooks included. 5-min install."
122,tw93/claude-health,609,https://github.com/tw93/claude-health,2026-03-30T06:34:34Z,,,high,high,collection,None (Markdown/Config-only or unknown),🤫 Claude Code skill: audit your Claude Code config health across all layers
123,onvoyage-ai/gtm-engineer-skills,608,https://github.com/onvoyage-ai/gtm-engineer-skills,2026-03-30T08:05:30Z,HTML,MIT,high,medium,collection,None (Markdown/Config-only or unknown),"Claude Code skill for improving website AEO (AI Engine Optimization) and GEO (Generative Engine Optimization) scores — 16 foundational checks, 6 intelligence dimensions, framework-specific fixes"
124,EtienneLescot/n8n-as-code,599,https://github.com/EtienneLescot/n8n-as-code,2026-03-30T07:14:08Z,TypeScript,MIT,medium,medium,collection,Node.js,"Give your AI agent n8n superpowers. 537 nodes with full schemas, 7,700+ templates, Git-like sync, and TypeScript workflows."
125,FrancyJGLisboa/agent-skill-creator,598,https://github.com/FrancyJGLisboa/agent-skill-creator,2026-03-30T07:50:40Z,Python,,high,medium,collection,Python,"Turn any workflow into reusable AI agent skills that install on 14+ tools — Claude Code, Copilot, Cursor, Windsurf, Codex, Gemini, Kiro, and more. One SKILL.md, every platform."
126,Besty0728/Unity-Skills,594,https://github.com/Besty0728/Unity-Skills,2026-03-30T07:39:41Z,C#,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),AI automation skills specifically designed for Unity
127,botingw/rulebook-ai,584,https://github.com/botingw/rulebook-ai,2026-03-29T06:08:39Z,Python,MIT,medium,high,collection,Python,"Elevate vibe coding to vibe engineering: Get consistent Github Copilot custom instructions, Cursor, Roo Code, Cline, Windsurf, Claude Code, Gemini Cli, Codex CLI, kilo code, warp custom rules via a universal, managed template. Features vibe coding memory bank & best practices for large codebases."
128,23blocks-OS/ai-maestro,575,https://github.com/23blocks-OS/ai-maestro,2026-03-30T01:57:37Z,TypeScript,MIT,medium,medium,tooling,Node.js,"AI Agent Orchestrator with Skills System - Give AI Agents superpowers: memory search, code graph queries, agent-to-agent messaging. Manage Claude, Codex or any AI Agent from one dashboard. Move Agents between computers and locations"
129,tripleyak/SkillForge,572,https://github.com/tripleyak/SkillForge,2026-03-29T18:25:11Z,Python,MIT,medium,medium,collection,Python,"Intelligent skill router and creator for Claude Code and Codex. Analyzes any input to recommend existing skills, improve them, or create new ones from scratch."
130,ComposioHQ/awesome-codex-skills,561,https://github.com/ComposioHQ/awesome-codex-skills,2026-03-30T08:04:25Z,Python,,high,medium,index,Python,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.
131,fcakyon/claude-codex-settings,551,https://github.com/fcakyon/claude-codex-settings,2026-03-30T01:47:49Z,Python,Apache-2.0,medium,high,tooling,Python,"My personal Claude Code and OpenAI Codex setup with battle-tested skills, commands, hooks, agents and MCP servers that I use daily."
132,first-fluke/oh-my-agent,522,https://github.com/first-fluke/oh-my-agent,2026-03-30T06:35:27Z,TypeScript,MIT,medium,medium,collection,Node.js,"Portable multi-agent harness for .agents-based skills, workflows, and standards-aware agent teams across Antigravity, Claude Code, Codex, OpenCode, and more."
133,milisp/codexia,521,https://github.com/milisp/codexia,2026-03-30T07:29:30Z,TypeScript,AGPL-3.0,medium,medium,tooling,Node.js,"Agent Workstation for Codex CLI + Claude Code — with task scheduler, git worktree & remote control, skills management"
134,realkimbarrett/advertising-skills,496,https://github.com/realkimbarrett/advertising-skills,2026-03-30T07:13:00Z,,,high,medium,collection,None (Markdown/Config-only or unknown),"Advertising Skills for Open Claw, Claude Code & AI agents. Direct response, paid ads, funnels, and copy systems."
135,xintaofei/codeg,490,https://github.com/xintaofei/codeg,2026-03-30T07:40:52Z,TypeScript,Apache-2.0,medium,medium,tooling,Node.js,"A unified workspace for local AI coding agents (Claude Code, Codex, Gemini CLI, etc.) — desktop app, standalone server, or Docker. Session aggregation, git worktree workflows, MCP/Skills management, and integrated terminal, all accessible from any browser.（多 AI 编码代理统一工作台）"
136,VikashLoomba/copilot-mcp,482,https://github.com/VikashLoomba/copilot-mcp,2026-03-27T18:08:13Z,TypeScript,GPL-3.0,high,medium,tooling,Node.js,"A VSCode extension that lets you find and install Agent Skills and MCP Apps to use with GitHub Copilot, Claude Code, and Codex CLI."
137,skillmatic-ai/awesome-agent-skills,478,https://github.com/skillmatic-ai/awesome-agent-skills,2026-03-30T07:35:53Z,,CC0-1.0,high,medium,index,None (Markdown/Config-only or unknown),The definitive resource for Agent Skills - modular capabilities revolutionizing AI agent architecture
138,0xranx/OpenContext,467,https://github.com/0xranx/OpenContext,2026-03-28T03:59:44Z,JavaScript,MIT,medium,medium,tooling,Node.js,"A personal context store for AI agents and assistants—reuse your existing coding agent CLI (Codex/Claude/OpenCode) with built‑in Skills/tools and a desktop GUI to capture, search, and reuse project knowledge across agents and repos."
139,xingkongliang/skills-manager,455,https://github.com/xingkongliang/skills-manager,2026-03-30T07:37:32Z,Rust,,high,medium,tooling,Rust,"A lightweight desktop app to manage, sync, and organize AI agent skills across 15+ coding tools — Cursor, Claude Code, Codex, Copilot, and more."
140,huggingface/upskill,451,https://github.com/huggingface/upskill,2026-03-28T21:29:37Z,Python,Apache-2.0,high,medium,collection,Python,"Generate and evaluate agent skills for code agents like Claude Code, Open Code, OpenAI Codex"
141,jiweiyeah/Skills-Manager,430,https://github.com/jiweiyeah/Skills-Manager,2026-03-30T06:49:59Z,,MIT,high,medium,tooling,None (Markdown/Config-only or unknown),"A high-performance desktop application for managing skills across multiple AI coding assistants. Seamlessly organize, sync, and share skills for Claude Code、Codex、Opencode and other AI tools. Built with Tauri 2.0, React 19, and Rust."
142,arakoodev/EdgeChains,417,https://github.com/arakoodev/EdgeChains,2026-03-25T22:55:32Z,JavaScript,AGPL-3.0,medium,high,collection,Node.js,"EdgeChains.js is Full-Stack GenAI library. Front-end, backend, apis, prompt management, distributed computing. All core prompts & chains are managed declaratively in jsonnet (and not hidden in classes)"
143,JackyST0/awesome-agent-skills,416,https://github.com/JackyST0/awesome-agent-skills,2026-03-30T06:37:56Z,Shell,CC0-1.0,high,medium,index,None (Markdown/Config-only or unknown),🤖 精选的 AI Agent Skills 列表，适用于 Cursor、Claude Code、GitHub Copilot 等 AI 编程工具
144,solana-foundation/solana-dev-skill,411,https://github.com/solana-foundation/solana-dev-skill,2026-03-30T04:58:32Z,TypeScript,MIT,high,medium,collection,Node.js,Skills for agentic development on Solana (March 2026 best practices)
145,WILLOSCAR/research-units-pipeline-skills,377,https://github.com/WILLOSCAR/research-units-pipeline-skills,2026-03-29T16:51:19Z,Python,,medium,medium,collection,Python,"Research pipelines as semantic execution units: each skill declares inputs/outputs, acceptance criteria, and guardrails. Evidence-first methodology prevents hollow writing through structured intermediate artifacts."
146,matank001/cursor-security-rules,370,https://github.com/matank001/cursor-security-rules,2026-03-28T22:54:15Z,,MIT,medium,high,collection,None (Markdown/Config-only or unknown),"This repository contains Cursor Security Rules designed to improve the security of both development workflows and AI agent usage within the Cursor environment. These rules aim to enforce safe coding practices, control sensitive operations, and reduce risk in AI-assisted development."
147,gotalab/skillport,365,https://github.com/gotalab/skillport,2026-03-30T02:57:16Z,Python,MIT,high,medium,tooling,Python,"Bring Agent Skills to Any AI Agent and Coding Agent — via CLI or MCP. Manage once, serve anywhere."
148,mgechev/skillgrade,337,https://github.com/mgechev/skillgrade,2026-03-30T02:40:31Z,TypeScript,MIT,high,medium,collection,Node.js,"""Unit tests"" for your agent skills"
149,inmve/awesome-ai-coding-techniques,329,https://github.com/inmve/awesome-ai-coding-techniques,2026-03-28T04:11:20Z,,,medium,medium,index,None (Markdown/Config-only or unknown),"Practical techniques for coding with ai assistants (Claude Code, Codex CLI, Cursor, GitHub Copilot, etc). Available in: English • Español • Deutsch • Français • 日本語"
150,gooseworks-ai/goose-skills,329,https://github.com/gooseworks-ai/goose-skills,2026-03-30T05:47:26Z,Python,,high,medium,collection,Python,"Library of GTM skills for Claude Code, Codex, Cursor"
151,meodai/skill.color-expert,327,https://github.com/meodai/skill.color-expert,2026-03-30T02:11:03Z,,NOASSERTION,medium,medium,collection,None (Markdown/Config-only or unknown),"Agent skill for color science expertise. Many references covering color spaces, accessibility (APCA, WCAG), palette   generation, pigment mixing, and historical color theory. Works with Claude Code, Codex, Cursor, Copilot & others."
152,zippoxer/subtask,321,https://github.com/zippoxer/subtask,2026-03-28T04:58:57Z,Go,MIT,medium,medium,collection,Go,Claude Skill to do your tasks with subagents in Git worktrees
153,dfinke/awesome-copilot-chatmodes,315,https://github.com/dfinke/awesome-copilot-chatmodes,2026-03-21T19:04:03Z,,MIT,low,high,index,None (Markdown/Config-only or unknown),"Custom chatMode.md personas for GitHub Copilot — specialize your VS Code with AI assistants for testing, security, clean‑code refactoring, dashboards, prompt design, and more. Just drop in and select your mode."
154,aldefy/compose-skill,308,https://github.com/aldefy/compose-skill,2026-03-30T08:07:51Z,,NOASSERTION,medium,medium,collection,None (Markdown/Config-only or unknown),"Jetpack Compose Agent Skill — AI-powered coding guidance with actual androidx/androidx source code receipts. Works with Claude Code, Codex CLI, Gemini CLI, Cursor, Copilot, Windsurf, and more."
155,rahulvrane/awesome-claude-agents,299,https://github.com/rahulvrane/awesome-claude-agents,2026-03-24T20:56:31Z,,NOASSERTION,medium,medium,index,None (Markdown/Config-only or unknown),collection of awesome claude code subagents!
156,milisp/mcp-linker,298,https://github.com/milisp/mcp-linker,2026-03-25T13:05:22Z,TypeScript,AGPL-3.0,medium,low,tooling,Node.js,"mcp store manager, add & syncs MCP server configurations across clients like Claude code, Cursor💡 build-in Codex agent use ChatGPT subscription, mcphub"
157,LimHyungTae/awesome-claudecode-paper-proofreading,292,https://github.com/LimHyungTae/awesome-claudecode-paper-proofreading,2026-03-30T04:10:38Z,,MIT,medium,high,index,None (Markdown/Config-only or unknown),Claude Code-driven research paper proofreading prompt
158,MagicCube/agentara,285,https://github.com/MagicCube/agentara,2026-03-30T07:11:03Z,TypeScript,,medium,medium,collection,Node.js,"Your 24/7 personal assistant powered by Claude Code and OpenAI Codex. Multi-channel messaging, long-term memory, skills, task scheduling, session management, and more — all running locally."
159,twostraws/Swift-Concurrency-Agent-Skill,279,https://github.com/twostraws/Swift-Concurrency-Agent-Skill,2026-03-30T03:56:31Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Swift Concurrency agent skill for Claude Code, Codex, and other AI tools."
160,menkesu/awesome-pm-skills,271,https://github.com/menkesu/awesome-pm-skills,2026-03-29T14:58:04Z,,NOASSERTION,medium,medium,index,None (Markdown/Config-only or unknown),28 AI-powered PM skills from Lenny's Podcast. Transform Claude Code & Cursor into world-class product partners.
161,quemsah/awesome-claude-plugins,268,https://github.com/quemsah/awesome-claude-plugins,2026-03-30T07:30:49Z,TypeScript,,medium,medium,tooling,Node.js,Automated collection of Claude Code plugin adoption metrics across GitHub repositories using n8n workflows
162,caliber-ai-org/ai-setup,258,https://github.com/caliber-ai-org/ai-setup,2026-03-30T08:06:00Z,TypeScript,MIT,high,high,tooling,Node.js,"Continuously sync your AI setups with one command. Codebase tailor suited agent skills, MCPs and config files for Claude Code, Cursor, and Codex."
163,Weizhena/Deep-Research-skills,256,https://github.com/Weizhena/Deep-Research-skills,2026-03-30T06:36:26Z,Python,,medium,medium,collection,Python,Structured deep research skill for Claude Code/Open Code/Codex with human-in-the-loop control
164,Bhanunamikaze/Agentic-SEO-Skill,256,https://github.com/Bhanunamikaze/Agentic-SEO-Skill,2026-03-29T18:20:52Z,Python,MIT,medium,medium,collection,Python,"An LLM-first SEO analysis skill for Antigravity, Codex, Claude with 16 specialized sub-skills, 10 specialist agents, and 33 optional utility scripts used as evidence collectors."
165,renocrypt/latex-arxiv-SKILL,254,https://github.com/renocrypt/latex-arxiv-SKILL,2026-03-30T00:51:37Z,TeX,,high,medium,collection,None (Markdown/Config-only or unknown),A .codex SKILL for issue-driven ML/AI arXiv review papers: scaffold LaTeX + verify BibTeX citations end-to-end.
166,aiskillstore/marketplace,232,https://github.com/aiskillstore/marketplace,2026-03-30T08:05:34Z,Python,,high,medium,index,Python,"Security-audited skills for Claude, Codex & Claude Code. One-click install, quality verified."
167,jqueryscript/awesome-claude-code,225,https://github.com/jqueryscript/awesome-claude-code,2026-03-29T20:14:57Z,,CC0-1.0,medium,medium,tooling,None (Markdown/Config-only or unknown),"A curated list of awesome tools, IDE integrations, frameworks, and other resources for developers working with Anthropic's Claude Code. "
168,karanb192/awesome-claude-skills,224,https://github.com/karanb192/awesome-claude-skills,2026-03-30T07:13:43Z,,MIT,high,medium,index,None (Markdown/Config-only or unknown),"🎯 The definitive collection of 50+ verified Awesome Claude Skills for Claude Code, Claude.ai, and API. Boost productivity with TDD, debugging, git workflows, document processing, and more. Community-driven, actively maintained."
169,jdrhyne/agent-skills,219,https://github.com/jdrhyne/agent-skills,2026-03-27T17:54:08Z,Python,,high,high,tooling,Python,"A collection of AI agent skills for Clawdbot, Claude Code, Codex"
170,thehimel/cursor-rules-and-prompts,219,https://github.com/thehimel/cursor-rules-and-prompts,2026-03-22T16:05:54Z,Shell,NOASSERTION,medium,high,collection,None (Markdown/Config-only or unknown),"A comprehensive, open-source collection of rules and prompts designed to guide Cursor AI in generating better, more consistent code. Enhance code quality, enforce coding standards, and streamline development workflows automatically."
171,twostraws/SwiftData-Agent-Skill,217,https://github.com/twostraws/SwiftData-Agent-Skill,2026-03-29T16:24:22Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"SwiftData agent skill for Claude Code, Codex, and other AI tools."
172,weam-ai/weam,214,https://github.com/weam-ai/weam,2026-03-29T06:29:30Z,TypeScript,NOASSERTION,medium,high,tooling,Node.js,"Web app for teams of 20+ members. In-built connections to major LLMs via API. Share chats, prompts, and agents in team or private folders. Modern, fully responsive stack (Next.js, Node.js). Deploy your own vibe-coded AI apps, agents, or workflows—or use ready-made solutions from the library."
173,Nikolay-Shirokov/cc-1c-skills,214,https://github.com/Nikolay-Shirokov/cc-1c-skills,2026-03-29T19:54:59Z,Python,MIT,high,medium,collection,Python,"Набор навыков для AI(ИИ)-агентов (Claude Code, Cursor, Codex и др.), помогающий охватить полный цикл разработки на платформе 1С:Предприятие 8.3. Даёт модели абстракции над XML-форматами и CLI конфигуратора, а также глаза и руки для тестирования через веб-клиент. AI skills for 1C:Enterprise 8.3."
174,twostraws/Swift-Testing-Agent-Skill,210,https://github.com/twostraws/Swift-Testing-Agent-Skill,2026-03-30T03:56:48Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Swift Testing agent skill for Claude Code, Codex, and other AI tools."
175,LangGPT/awesome-claude-code,203,https://github.com/LangGPT/awesome-claude-code,2026-03-29T12:36:33Z,,,medium,high,index,None (Markdown/Config-only or unknown),"Awesome Claude Code Resources, Projects、Prompts、Agents、Commands，everything about claude code! Claude Code 精选资源列表 （by 云中江树）"
176,Railly/agentfiles,202,https://github.com/Railly/agentfiles,2026-03-30T08:04:03Z,TypeScript,MIT,high,medium,tooling,Node.js,"Discover, organize, and edit AI coding agent skills across Claude Code, Cursor, Codex, Windsurf, and more, from inside Obsidian."
177,Mizoreww/awesome-claude-code-config,192,https://github.com/Mizoreww/awesome-claude-code-config,2026-03-30T03:13:54Z,Shell,MIT,medium,high,tooling,None (Markdown/Config-only or unknown),"Production-ready Claude Code configuration with self-improvement loop, multi-language rules, MCP integrations, and custom skills"
178,mxyhi/ok-skills,191,https://github.com/mxyhi/ok-skills,2026-03-30T04:26:33Z,C#,Apache-2.0,high,high,collection,None (Markdown/Config-only or unknown),"Curated AI coding agent skills and AGENTS.md playbooks for Codex, Claude Code, Cursor, OpenClaw, and other SKILL.md-compatible tools."
179,AElfProject/aelf-skills,187,https://github.com/AElfProject/aelf-skills,2026-03-30T06:44:18Z,TypeScript,,medium,medium,tooling,Node.js,"Unified aelf skills hub for discovery, routing, bootstrap, and health checks across OpenClaw, Codex, Cursor, and Claude Code."
180,hashgraph-online/registry-broker-skills,178,https://github.com/hashgraph-online/registry-broker-skills,2026-03-29T16:51:52Z,TypeScript,Apache-2.0,high,medium,tooling,Node.js,"AI agent skills for the Universal Registry - search, chat, and register 72,000+ agents across 14+ protocols. Works with Claude, Codex, Cursor, OpenClaw, and any AI assistant."
